1,3,You are at the entrance of a maze
2,4,You are close to the entrance - it has begun to rain so you turn back to the entrance
3,5,You arrive at a split - you sit down - have acup of tea and then contine by going left
4,1,You stand close to the entrance and hide under a tree as the rain gets heavier then move forward
5,6,You arrive somewhere familiar - the path splits and you turn right
6,2,You have arrived at a dead-end - so turn around and take a tiny turning to the right

idea

Tourist guide project can let users feel the characteristics of tourist attractions more intuitively, through different angles can show users the fun of tourism in all aspects.
First we initialize the content through the database initialization method. Then we present the data through node_view, the data structure has been abstracted as a tree, when the user selects a certain knowledge, we can easily guide to the next node. In this way, the user can receive the knowledge of the tour after a layer of display.
